Range (181, 185) : (Score: 1011), (Number of Possessions: 657)
Range (186, 190) : (Score: 2079), (Number of Possessions: 1350)
Range (191, 195) : (Score: 3062), (Number of Possessions: 2380)
Range (196, 200) : (Score: 4017), (Number of Possessions: 2657)
Range (201, 205) : (Score: 5005), (Number of Possessions: 2982)
Range (206, 210) : (Score: 6034), (Number of Possessions: 4135)
Range (211, 215) : (Score: 7015), (Number of Possessions: 4518)
Range (216, 220) : (Score: 8042), (Number of Possessions: 5361)
Range (221, 225) : (Score: 9038), (Number of Possessions: 6218)
Range (226, 230) : (Score: 10095), (Number of Possessions: 6959)
Range (231, 235) : (Score: 11054), (Number of Possessions: 7467)
Range (236, 240) : (Score: 12069), (Number of Possessions: 7847)
Range (241, 245) : (Score: 13052), (Number of Possessions: 8653)
Range (246, 250) : (Score: 14066), (Number of Possessions: 9347)
Range (251, 255) : (Score: 15073), (Number of Possessions: 9789)
Range (256, 260) : (Score: 16062), (Number of Possessions: 10410)
Range (261, 265) : (Score: 17137), (Number of Possessions: 10793)
Range (266, 270) : (Score: 18145), (Number of Possessions: 11319)
Range (271, 275) : (Score: 19218), (Number of Possessions: 11994)
Range (276, 280) : (Score: 20241), (Number of Possessions: 12305)
Range (281, 285) : (Score: 21183), (Number of Possessions: 13142)
Range (286, 290) : (Score: 22185), (Number of Possessions: 13531)
Range (291, 295) : (Score: 23158), (Number of Possessions: 14329)
Range (296, 300) : (Score: 24127), (Number of Possessions: 15130)
Range (301, 305) : (Score: 25103), (Number of Possessions: 16083)
Range (306, 310) : (Score: 26107), (Number of Possessions: 16607)
Range (311, 315) : (Score: 27143), (Number of Possessions: 17266)
Range (316, 320) : (Score: 28182), (Number of Possessions: 17974)
Range (321, 325) : (Score: 29193), (Number of Possessions: 18288)
Range (326, 330) : (Score: 30289), (Number of Possessions: 18807)
Range (331, 335) : (Score: 31228), (Number of Possessions: 19229)
Range (336, 340) : (Score: 32237), (Number of Possessions: 19653)
Range (341, 345) : (Score: 33204), (Number of Possessions: 20143)
Range (346, 350) : (Score: 34300), (Number of Possessions: 21734)
Range (351, 355) : (Score: 35241), (Number of Possessions: 22536)
Range (356, 360) : (Score: 36305), (Number of Possessions: 23376)
Range (361, 365) : (Score: 37314), (Number of Possessions: 24383)
Range (366, 370) : (Score: 38285), (Number of Possessions: 25058)
